stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-07 23:42:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:43:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:44:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:45:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:46:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:47:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:48:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:49:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:50:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:51:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:52:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:53:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:54:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:55:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:56:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:57:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:58:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 23:59:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:00:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:01:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:02:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:03:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:05:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:06:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:07:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:08:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:09:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:10:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:11:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:12:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:13:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:14:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:15:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:16:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:17:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:18:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:19:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:20:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:21:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:22:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:23:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:24:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:25:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:26:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:27:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:28:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:29:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:30:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:31:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:32:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:34:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:35:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:36:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:37:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:38:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:39:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:40:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:41:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:42:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:43:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:44:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:45:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:46:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:47:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:48:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:49:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:50:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:51:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:52:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:53:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:54:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:55:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:56:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:57:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:58:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 00:59:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:00:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:01:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:02:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:04:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:05:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:06:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:07:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:08:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:09:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:10:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:11:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:12:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:13:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:14:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:15:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:16:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:17:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:18:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:19:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:20:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:21:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:22:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:23:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:24:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:25:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:26:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:27:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:28:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:29:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:30:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:31:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:32:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:34:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:35:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:36:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:37:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:38:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:39:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:40:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:41:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:42:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:43:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:44:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:45:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:46:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:47:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:48:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:49:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:50:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:51:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:52:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:53:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:54:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:55:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:56:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:57:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:58:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 01:59:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:00:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:01:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:03:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:04:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:05:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:06:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:07:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:08:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:09:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:10:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:11:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:12:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:13:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:14:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:15:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:16:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:17:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:18:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:19:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:20:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:21:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:22:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:23:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:24:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:25:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:26:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:27:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:28:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:29:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:30:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 02:32:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 08:55:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 08:56:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 08:57:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 08:58:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 08:59:00,534.0,536.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:01:00,534.4,536.6,13.0,520.0,780.0,0.0,520.0,780.0
2017-02-08 09:02:00,534.4,536.6,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:03:00,534.4,536.6,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:04:00,534.0,536.0,13.0,-520.0,-780.0,0.0,-520.0,-780.0
2017-02-08 09:05:00,533.4,535.4,13.0,-780.0,-780.0,0.0,-780.0,-780.0
2017-02-08 09:06:00,533.6,535.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:07:00,534.2,536.2,13.0,780.0,780.0,0.0,780.0,780.0
2017-02-08 09:08:00,534.6,536.6,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:09:00,535.0,537.0,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:10:00,535.4,537.4,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:11:00,535.4,537.4,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:12:00,535.0,537.0,13.0,-520.0,-520.0,0.0,-520.0,-520.0
2017-02-08 09:13:00,535.0,537.2,13.0,0.0,260.0,0.0,0.0,260.0
2017-02-08 09:14:00,535.0,537.0,13.0,0.0,-260.0,0.0,0.0,-260.0
2017-02-08 09:15:00,535.0,537.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:16:00,535.6,537.6,13.0,780.0,780.0,0.0,780.0,780.0
2017-02-08 09:17:00,535.4,537.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:18:00,535.6,537.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:19:00,535.4,537.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:20:00,535.4,537.4,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:21:00,535.0,537.0,13.0,-520.0,-520.0,0.0,-520.0,-520.0
2017-02-08 09:22:00,535.2,537.2,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:23:00,535.2,537.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:24:00,535.4,537.4,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:25:00,535.8,537.8,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:26:00,535.8,537.8,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:27:00,536.0,538.0,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:28:00,536.0,538.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:30:00,536.2,538.2,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:31:00,536.4,538.4,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:32:00,536.6,538.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:33:00,537.6,539.4,13.0,1300.0,1040.0,0.0,1300.0,1040.0
2017-02-08 09:34:00,539.6,541.4,13.0,2600.0,2600.0,0.0,2600.0,2600.0
2017-02-08 09:35:00,539.8,541.8,13.0,260.0,520.0,0.0,260.0,520.0
2017-02-08 09:36:00,540.0,542.0,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:37:00,539.8,541.8,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:38:00,539.0,541.0,13.0,-1040.0,-1040.0,0.0,-1040.0,-1040.0
2017-02-08 09:39:00,539.4,541.4,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:40:00,539.8,541.8,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:41:00,540.0,542.0,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:42:00,540.0,542.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:43:00,539.4,541.4,13.0,-780.0,-780.0,0.0,-780.0,-780.0
2017-02-08 09:44:00,539.4,541.2,13.0,0.0,-260.0,0.0,0.0,-260.0
2017-02-08 09:45:00,539.6,541.6,13.0,260.0,520.0,0.0,260.0,520.0
2017-02-08 09:46:00,539.4,541.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:47:00,538.6,540.6,13.0,-1040.0,-1040.0,0.0,-1040.0,-1040.0
2017-02-08 09:48:00,538.0,540.0,13.0,-780.0,-780.0,0.0,-780.0,-780.0
2017-02-08 09:49:00,538.8,541.0,13.0,1040.0,1300.0,0.0,1040.0,1300.0
2017-02-08 09:50:00,538.0,540.0,13.0,-1040.0,-1300.0,0.0,-1040.0,-1300.0
2017-02-08 09:51:00,537.8,539.8,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:52:00,537.6,539.6,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 09:53:00,537.6,539.6,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:54:00,537.6,539.6,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:55:00,538.0,540.0,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 09:56:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:57:00,538.2,540.2,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 09:59:00,538.2,540.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:00:00,538.2,540.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:01:00,538.0,540.0,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:02:00,538.4,540.4,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:03:00,538.8,540.8,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:04:00,538.8,540.8,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:05:00,538.2,540.2,13.0,-780.0,-780.0,0.0,-780.0,-780.0
2017-02-08 10:06:00,538.2,540.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:07:00,538.6,540.6,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:08:00,538.4,540.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:09:00,538.2,540.2,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:10:00,538.0,540.0,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:11:00,538.0,539.8,13.0,0.0,-260.0,0.0,0.0,-260.0
2017-02-08 10:12:00,538.0,539.8,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:13:00,538.0,540.0,13.0,0.0,260.0,0.0,0.0,260.0
2017-02-08 10:14:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:15:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:16:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:17:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:18:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:19:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:20:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:21:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:22:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:23:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:24:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:25:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:26:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:28:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:29:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:30:00,538.4,540.4,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:31:00,538.6,540.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:32:00,538.4,540.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:33:00,538.4,540.4,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:34:00,538.2,540.2,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:35:00,538.0,540.0,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:36:00,538.0,540.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:37:00,537.8,539.8,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:38:00,537.8,539.6,13.0,0.0,-260.0,0.0,0.0,-260.0
2017-02-08 10:39:00,537.8,539.8,13.0,0.0,260.0,0.0,0.0,260.0
2017-02-08 10:40:00,537.6,539.4,13.0,-260.0,-520.0,0.0,-260.0,-520.0
2017-02-08 10:41:00,537.2,539.2,13.0,-520.0,-260.0,0.0,-520.0,-260.0
2017-02-08 10:42:00,537.6,539.6,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:43:00,537.4,539.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:44:00,537.6,539.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:45:00,537.2,539.2,13.0,-520.0,-520.0,0.0,-520.0,-520.0
2017-02-08 10:46:00,537.0,539.0,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:47:00,537.4,539.4,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:48:00,537.6,539.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:49:00,537.4,539.4,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:50:00,537.6,539.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:51:00,537.6,539.6,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 10:52:00,537.2,539.2,13.0,-520.0,-520.0,0.0,-520.0,-520.0
2017-02-08 10:53:00,537.4,539.4,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:54:00,537.6,539.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 10:56:00,538.0,540.0,13.0,520.0,520.0,0.0,520.0,520.0
2017-02-08 10:57:00,537.8,539.8,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:58:00,537.6,539.6,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 10:59:00,537.4,539.2,13.0,-260.0,-520.0,0.0,-260.0,-520.0
2017-02-08 11:00:00,537.4,539.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:01:00,537.6,539.6,13.0,260.0,520.0,0.0,260.0,520.0
2017-02-08 11:02:00,537.2,539.0,13.0,-520.0,-780.0,0.0,-520.0,-780.0
2017-02-08 11:03:00,537.2,539.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:04:00,537.0,539.0,13.0,-260.0,0.0,0.0,-260.0,0.0
2017-02-08 11:05:00,537.0,539.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:06:00,537.0,539.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:07:00,536.8,538.8,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 11:08:00,537.0,539.0,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:09:00,537.0,539.0,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:10:00,537.2,539.2,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:11:00,537.4,539.4,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:12:00,537.4,539.4,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:13:00,537.2,539.2,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 11:14:00,537.2,539.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:15:00,537.2,539.2,13.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:16:00,537.4,539.4,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:17:00,537.6,539.6,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:18:00,537.8,539.8,13.0,260.0,260.0,0.0,260.0,260.0
2017-02-08 11:19:00,537.6,539.6,13.0,-260.0,-260.0,0.0,-260.0,-260.0
2017-02-08 11:20:00,537.6,539.6,13.0,0.0,0.0,0.0,0.0,0.0
